default,gender,salary
0,male,44597.281568881655
0,female,28188.899174173515
0,male,44981.13707086093
0,male,37481.19504653866
0,female,9432.073399335512
0,male,52278.28399474111
0,female,11235.811284188196
0,male,37663.02112612936
0,female,19803.54897932817
1,male,10563.498539463526
0,male,37802.8720600691
0,male,50955.34130182849
1,male,21746.168301901434
1,female,23607.052340082137
1,male,33837.19152484225
0,male,48150.69062772677
1,male,29030.700554922285
1,male,28603.639226429397
0,female,18882.96388768682
0,female,3918.3667928478408
0,female,30273.832540347707
1,female,9564.675739116523
1,female,9895.544645646787
0,female,17481.336722556825
0,female,27345.38204692679
1,female,17350.62329948098
1,female,34432.200821253355
0,female,17787.68038428741
0,male,51879.84795968374
1,female,13300.053927841695
0,male,49997.9101371543
0,male,38124.90242496871
0,female,27317.55129558316
1,male,27293.058423654824
0,male,55119.7100580438
1,male,16978.235776544883
1,female,-5815.5666436766805
1,male,26964.80589820045
0,female,8200.731646763134
1,male,27919.5493394214
0,male,36835.18263502228
0,male,50564.098258517355
1,female,15368.710802348585
0,female,18066.96489895354
0,male,44299.64776272153
1,male,32721.050763569474
1,female,30804.142996661903
1,female,22208.42273546783
0,male,46567.13520112101
0,female,14222.897583264763
1,female,25407.571172525182
1,male,7947.75896710981
0,male,46307.19525966422
0,female,29895.773086428195
1,female,8954.848565767637
1,female,19163.29280294493
1,female,14904.204428823614
1,male,10966.139886051216
0,female,22667.883268623653
0,female,22363.006862702397
0,male,40895.102759595975
1,female,24401.613160405042
1,male,28790.692102396184
1,female,13907.091192871401
1,female,21265.714967055326
1,female,23780.926146463564
0,female,8197.921329531988
1,female,11874.138655828765
1,male,27277.62276052696
0,male,36169.52026930556
1,female,4755.524524632712
1,male,19193.021491199033
1,female,31370.941186438315
1,male,26499.05720665259
0,female,27819.673359516506
1,male,31224.562570652884
0,female,25165.751034728753
0,female,12994.90438370737
0,male,39639.01410020986
0,female,20441.161284803504
1,female,13071.336443216169
1,male,32772.20746023127
1,male,22510.789798020396
1,male,26546.141577408285
1,female,212.88493404344626
0,male,43161.66196743031
0,male,47618.68142448162
1,male,33861.42545678258
1,female,9047.84111964272
1,female,24214.531928147713
0,female,36918.285038799106
0,male,41970.1922125016
0,female,25568.117045771854
0,male,42697.34128221454
0,male,52131.324364087515
0,male,37934.04443393059
0,male,42619.18987718035
0,female,11230.780010240045
1,male,16330.569273002486
1,male,29880.502685619067
1,female,14779.876352872194
1,male,9877.78012819872
1,female,33100.86728320672
0,female,20227.254285031162
1,male,28476.158979779528
1,male,19314.695275077906
0,male,40631.973967291204
1,male,31849.0518608341
1,female,9836.242086536808
1,female,32315.55954715878
1,male,33455.54063720464
0,female,21184.987363142453
0,female,29615.969181125696
0,male,43576.24380132941
0,male,47500.91943196625
1,female,4765.471839877911
0,male,48115.01615497787
1,male,26052.759090609085
0,male,38234.70054823682
0,male,41554.39265593483
1,female,24644.166142296755
0,male,46327.97381755344
0,male,41365.73322396065
0,female,15261.244799863336
1,male,21841.50854184536
1,female,15070.639504204504
0,female,9274.837403707927
1,male,23191.584149199414
0,female,20958.28608124715
0,male,39433.74461985382
0,female,35170.77941044062
0,male,44095.98475596859
1,female,30197.36970246769
1,female,23761.022607826755
1,female,26855.43192643316
0,female,23619.88367384899
0,male,50817.04547492764
0,female,24260.2788489819
1,male,29814.285213048326
0,female,13804.790049578332
0,male,52561.75502146282
0,female,24637.471362853845
0,female,21206.66574774461
0,male,51055.60588513772
1,female,27655.323900550862
1,male,28080.574354213175
0,male,58831.64911309419
0,male,48043.73712372272
0,male,52268.49740228882
0,male,43498.06037939504
0,male,40619.005284727355
1,female,16146.463665898309
1,male,26261.349642257777
0,female,17934.73091716244
0,male,37389.44998426877
0,female,10336.577651131362
0,male,46161.13670919503
0,male,43333.784442198754
1,male,29534.52048888806
0,female,1228.04907035641
0,female,15044.697727368053
0,male,38565.26772044257
0,male,42276.58093603694
1,female,20124.21143064854
0,female,31807.698481979656
1,female,30948.019007370756
1,female,-8330.414372724681
1,female,31035.668368127084
0,male,39598.62811520201
1,male,29552.159028695438
1,male,33513.14169407928
1,male,31797.186041540837
1,male,33365.29460143202
1,female,27856.635485689752
1,female,29181.715487707675
1,male,32199.631669989965
1,male,30795.130869493907
0,female,24560.41627483144
0,female,29557.332425501154
0,female,28219.38196390371
0,male,36161.48170665131
0,male,42018.72977894332
0,female,28668.472185513023
0,female,27097.43335864132
1,female,18558.54772688912
0,male,39483.7872435564
0,female,30301.277580028443
1,male,27108.699621668507
0,female,15193.917166538253
0,male,38651.60407326911
0,female,36125.31004986546
1,male,27166.573048141974
1,female,22420.52359148538
0,male,48141.597471797504
0,male,41124.82099495937
1,female,32962.37165543501
0,male,35438.46226604306
1,female,28918.228533341688
1,female,25336.072791658717
0,female,25995.644741916563
0,male,40290.81925522195
1,female,16619.109743501067
1,female,19626.419687056503
0,male,55467.34751450103
0,female,31413.96110288382
0,male,51907.634834432814
1,male,34176.82078234254
1,male,31232.87979364035
0,female,18997.55645767434
0,female,25483.137976540726
0,male,43535.37472407961
0,male,38665.098808927665
0,female,16304.52343916591
1,female,13078.599504565836
0,male,36588.80231797869
1,female,32650.96681013686
0,male,54695.24454771489
0,male,59035.63628366834
1,male,21079.634681499327
1,female,27069.587447541926
0,male,45986.77954948107
1,female,20525.227109651572
1,male,29474.677943530794
1,female,6919.086709105844
0,male,36801.25765406002
1,male,14240.233701370813
0,male,49935.25462813569
0,female,22588.045062004225
1,female,-1761.9250877985469
0,female,37561.77753903259
0,female,21544.381805105386
0,male,45096.891238989425
0,female,11204.062766631514
0,male,51040.55406634066
0,male,51701.486290790825
1,female,30675.342832239334
1,female,10833.87462837671
0,male,43143.435654103705
0,male,37468.85445651206
1,male,28214.90027037313
0,female,38806.86469812329
0,female,38742.33354801523
0,male,50394.97791502998
0,female,29531.590524412903
0,female,22864.34737289747
0,female,8564.956315401922
0,male,37485.795846396024
0,female,17010.26063529834
0,male,36274.21448845242
0,male,37045.117425872006
0,male,47029.19412784335
0,female,3616.034606830259
1,female,33873.853719656436
1,male,33341.0164888227
0,female,25410.541041289558
1,female,32405.2660566806
0,female,40055.332085976865
1,female,18080.13298890852
0,male,48055.965244588995
0,male,45203.6087122739
1,male,28168.547166451302
0,male,43892.67763915129
0,male,42257.40460016448
1,male,21176.060432754693
0,female,11678.446912379028
1,male,30955.201049578187
1,male,11635.989914045731
1,male,32312.61903793854
0,female,35061.72061795808
0,female,22379.04088589414
0,female,13353.040397756758
1,male,5474.138172103856
0,male,40038.9241580121
1,female,31700.984707790216
0,male,41085.23774661348
1,male,33191.00622228439
1,female,22087.071966761123
1,female,19282.48587668956
0,male,35150.22652323478
1,female,19862.13694275642
1,male,20951.166222989512
0,male,44523.670134610686
0,male,39900.451718908225
1,female,29438.057692194474
0,female,26263.504470551376
0,female,12096.018042229065
0,male,46201.390109964224
1,female,18862.29712307098
1,female,8819.977532561748
0,female,11091.98430653653
1,female,13187.05872430266
0,female,13155.434120097034
0,male,47077.49829208138
1,male,24788.6913885826
0,female,27131.979559371397
1,male,30752.01936388311
1,male,33341.946286914244
0,male,48620.43434294616
0,male,47922.729912500305
0,female,18650.800642259386
0,female,36851.1085843036
1,male,30844.193362075566
1,female,23932.513316918616
1,male,28891.94564654035
0,female,37503.5065118003
0,male,40467.36465541868
0,male,44140.89976024677
0,male,52505.25379622781
1,female,23743.303869122927
1,male,30009.877292990896
0,male,41871.91815526433
0,female,20286.826930365354
0,male,52513.39335194538
0,male,39897.72009437345
1,male,30353.88096360267
0,male,54038.637719012615
1,female,3589.5902980023347
1,male,28991.031373759433
0,female,22998.219916169608
1,female,20021.13088867996
0,male,54492.392247619006
0,female,7831.069674842194
0,male,42207.176490977006
0,female,10060.869452488003
1,male,28264.840723895366
1,male,34608.56092558392
0,female,20340.518422809684
0,female,8576.87105476671
0,male,38903.77642041836
0,male,40331.137380407905
0,male,37326.34429513674
0,male,38525.40866931885
1,male,33960.74584426998
0,female,27719.76404691991
1,female,18088.22678465184
1,female,16324.702579531495
1,male,28649.664414972474
1,female,16380.100986500445
1,female,26488.839602637996
0,female,19956.680579083382
0,female,24634.225702119264
0,female,6501.835029731821
1,female,22798.145182486933
1,female,4360.583425863726
1,male,33956.24388928667
0,female,22572.021647735066
0,female,15362.266804504956
1,male,28248.472409926424
0,male,39979.03344136672
0,female,10245.83734166104
0,female,25511.372133904395
1,female,7719.179894359479
0,male,46589.50918033828
0,male,52085.376084406285
0,male,42614.86740476638
1,male,21014.257195545888
1,male,23306.732368595673
1,female,17297.032408291274
0,male,47944.633809339575
1,male,22714.13903348671
0,male,40683.46107908847
1,female,18081.07124555468
0,male,35460.4027258927
1,male,20036.887723011576
1,male,28423.595574937663
0,female,26197.897790218434
0,male,39762.73096206892
0,male,40303.0149439128
1,male,33684.35673151487
0,female,25729.02558868687
1,female,8770.811142472947
1,female,32860.60320363339
1,male,21737.17389235906
0,male,51623.69895822368
0,male,38173.1714060207
0,female,40583.39989769913
0,male,49085.99482512043
0,male,40935.71416928244
1,female,25169.0737620873
0,male,37065.05891368614
1,male,22875.46841062184
1,female,17809.606858524352
0,female,19468.397522147992
0,male,35423.30278499563
1,male,31613.985333421824
1,female,-2732.965823644292
1,male,32508.488897450898
0,male,36898.72693253583
1,female,12522.655095670285
0,female,7803.138550836917
1,female,13769.742676131147
0,female,27563.06240413989
0,female,39158.65401183409
0,female,1111.4387898697569
0,male,36511.78385220938
0,female,25362.999775773882
0,male,37966.33600236879
0,male,50434.58427011197
0,female,21735.609820823185
0,male,38318.715757034086
0,female,16820.567005534707
0,male,51965.29106307846
0,male,40532.042065296744
0,male,42924.830696960285
0,female,16999.882601137717
1,female,12094.0039266511
1,female,6903.707617548087
0,male,69688.24101899004
0,male,47338.09482909884
0,male,35201.87827989769
1,male,32794.99610038969
0,female,23373.818353108225
1,female,13072.619392091616
1,female,24210.487165601982
0,male,77895.38725004067
1,male,29920.75089180477
1,female,31066.45732819315
0,female,29282.244737728714
0,female,26185.621349363348
0,female,28267.51588202299
1,male,33152.554482764965
0,female,47090.1081223857
1,female,26314.049290106188
1,female,16217.034989590918
0,male,45192.07244136419
0,female,27192.45377152987
1,male,22211.675197139804
0,female,28904.158817574964
0,female,25705.700476467762
1,female,25561.973064663445
0,female,12407.849595123298
1,male,34996.33266884642
1,male,34000.1409654665
0,male,42670.311393955635
1,female,13733.373095794219
0,male,49068.18451826572
0,male,41878.80708550735
0,female,13268.42120812174
0,male,52314.33046822353
0,male,36850.5736994867
0,male,42663.53598178392
1,female,25295.44243220899
1,female,8863.359959647605
0,male,48037.70005063744
0,female,28971.409266080125
1,female,14612.42763374035
1,female,25021.60393006784
1,male,23935.382889620712
0,female,20588.447933076408
0,female,27514.393385214036
0,female,26628.753770918298
0,female,23111.575020398952
0,male,54236.16911579379
0,female,12008.16826324346
0,female,18144.29702646809
1,female,24824.885670467134
1,male,32059.902500665048
0,female,28210.21106722719
0,male,42048.584659746826
1,female,20587.20003724202
1,female,23643.603370817822
1,male,31559.582216165047
1,male,34706.901843364
0,female,8389.53344559546
0,male,56121.625648471956
0,male,44195.07230784315
1,female,25306.484507314875
1,male,26348.071502550483
0,female,37393.313115997495
0,female,14442.898322150522
1,female,9989.145413725502
1,male,24973.882360214993
1,male,20976.382346157112
0,male,41264.47137081537
0,male,42619.97973520641
0,male,37840.19574119296
1,female,14712.422983636947
1,female,30794.99238091872
0,female,23425.710444286702
1,female,8742.816145352872
1,male,27326.266071671555
0,female,11311.232651900678
0,female,24362.576185142745
0,male,35666.70071896065
0,male,43291.468901742555
0,male,49521.164037852366
1,female,8195.740517381077
0,male,56407.855158320934
1,female,22230.50803441559
0,male,43282.724284985336
0,female,20779.95320823144
1,male,30388.469298343243
0,male,43982.36872033426
0,male,52144.60848859439
0,male,43046.99396223111
0,male,48258.49202403072
1,male,34086.638905892745
0,male,39747.29727411449
0,female,12750.354461050516
1,female,-97.98967502643427
1,male,34429.88556411162
0,male,44580.438711515446
1,male,32503.98125013802
0,male,57251.53735617752
1,female,15456.625965313411
0,female,8490.636639337847
1,female,21431.193201085465
0,male,35521.40843494428
1,male,31253.423546469745
0,female,38689.313118759164
0,male,47898.54851262522
1,male,33779.58739446721
0,male,54818.956936827206
0,female,17456.33039244052
1,female,33217.55263151821
0,male,47031.22384974621
1,male,31643.20779174845
1,female,5517.20817736436
0,male,43731.09125443703
0,male,38287.495524824655
0,male,45658.46544673268
0,male,56563.56513925447
0,male,42399.707429315364
1,male,32986.489154793264
0,male,36419.26571904642
1,male,25468.511716131154
1,female,13430.27707836025
0,male,47777.76117800908
0,female,15082.759117951562
1,male,34471.693048239475
0,female,36566.699247597375
1,male,32375.442833616686
0,male,38679.61762046808
1,female,9760.857441636916
1,male,25673.30289678583
0,female,16298.32469912391
1,female,11146.674974799631
1,female,4518.811490876791
1,female,4908.024429753237
1,male,27619.004496836795
0,male,42288.980828723594
1,male,33973.27550361992
0,male,51310.98841388498
0,female,18955.201814697033
0,male,42891.365683282274
1,female,32307.202282289916
0,male,35983.66801061562
1,male,28787.63334574637
1,male,30785.303604506797
1,male,25483.44403143365
1,female,30873.338030993502
0,male,39171.00771879482
1,male,27481.6281465553
0,female,2251.0714530370933
0,female,8480.829029328344
0,male,37995.65419869988
1,female,1400.6926116605027
1,male,22843.127373418625
1,male,31690.993378093546
1,female,1281.680782774809
1,female,22525.39278862453
1,female,3810.642891761123
1,female,17978.56448704196
0,male,41745.298002737974
0,male,53923.046185651554
0,male,40721.119445280805
0,female,4735.37097001795
0,female,35376.33755047918
1,male,29072.20966851966
0,female,8742.806301469987
0,male,35790.18296824507
1,male,23994.28008709378
0,female,17954.150116370918
1,female,12980.293429229449
0,male,37396.14648628569
0,female,36931.5942532544
1,male,34000.242054370035
0,female,21971.97212762572
0,male,38716.54961107323
0,female,24364.81150890043
1,female,8467.885561822128
0,female,24043.485516070454
1,male,34586.52658685284
1,female,22320.45224477584
1,male,23911.080517205213
0,male,37954.635329681776
0,male,39822.700947211364
1,male,25094.089526087017
1,female,15910.670819945999
1,male,31046.729989955387
1,female,30463.179130091077
0,female,1111.222627589199
0,male,39024.88537107464
1,female,17167.16944884818
0,female,99.00168227538234
0,male,55929.534505729884
0,male,48076.75067362662
0,male,54038.98557179577
0,male,43597.28267144751
0,male,38762.563263642376
0,female,20942.913733957605
0,female,23820.03104762754
1,male,14330.59522031456
0,female,19583.314553831697
1,male,26181.097506520375
0,male,40186.601459465885
1,female,31734.526851676805
0,female,10483.203850377118
1,female,33856.937953285975
1,female,14939.955069051117
1,male,34247.3833563279
0,female,29391.19283286069
0,female,28592.239536569024
0,female,7632.976823493633
0,female,32365.390708941944
1,female,25668.39547111342
0,female,26909.1165760707
1,female,9697.384344694115
0,female,-13721.481524054958
0,male,40376.79936305083
0,female,24307.39748956877
1,female,18931.93795640164
0,male,42806.45291460698
0,male,43658.16615475884
0,male,36463.96939715521
0,female,5145.732144008882
0,male,51746.925409436575
1,female,16851.237509384053
1,male,34740.53852084085
0,female,19817.83327280335
1,male,30457.657555253572
0,female,21532.357923561158
0,male,43753.14378240328
0,male,51712.65584879836
0,male,41420.832406618276
0,female,12039.568852421096
1,female,20935.89832025493
1,male,33787.31382435736
0,male,36585.57764804646
1,female,10085.551129815467
0,female,25951.77101012927
1,male,23204.86433743081
0,male,43811.62764005079
0,female,32907.89764967764
1,female,8305.737445969142
1,male,32473.489530710416
1,male,23066.29606330082
0,male,45526.11247960413
1,male,31348.410576653798
1,male,21772.161872701654
